commit	val_auc	val_bacc	test_auc	test_bacc	composite	delta	vram_gb	elapsed_min	status	description
64c7ff9	0.869003	0.810364	0.836131	0.791992	0.814061	+0.814061	0.4	56.6	keep	baseline hoptimus1+clam_mb
64c7ff9	0.869269	0.790735	0.837224	0.766992	0.802108	-0.011953	0.4	59.3	discard	dropout 0.1
64c7ff9	0.846817	0.689693	0.820285	0.680880	0.750583	-0.063479	0.5	68.3	discard	L2 normalize features
64c7ff9	0.863679	0.797366	0.843343	0.810095	0.826719	+0.012657	0.4	53.4	keep	no instance eval
64c7ff9	0.876734	0.806915	0.846176	0.790432	0.818304	-0.008415	0.4	62.4	discard	clam_mb big model
64c7ff9	0.856214	0.796182	0.837135	0.764339	0.800737	-0.025982	0.4	70.5	discard	lr 1e-4, wd 1e-3
3b1de0f	0.871125	0.815527	0.837603	0.778650	0.808126	-0.018593	0.4	51.6	discard	big + no inst eval
3b1de0f	0.881262	0.799223	0.846984	0.780210	0.813597	-0.013122	0.4	56.9	discard	big + bag_weight 0.5
3b1de0f	0.871125	0.815527	0.837603	0.778650	0.808126	-0.018593	0.4	67.9	discard	big + patience 20
5602349	0.878571	0.808630	0.841742	0.768978	0.805360	-0.021359	0.4	50.6	discard	big+bw0.5+lr5e4
5602349	0.879083	0.808507	0.838035	0.780210	0.809122	-0.017597	0.4	55.8	discard	big+bw0.5+label_smooth0.1
5602349	0.880712	0.800815	0.853931	0.801762	0.827846	+0.001127	0.4	55.9	keep	big+bw0.5+dropout0.1
a4e94f2	0.882039	0.807711	0.846460	0.789980	0.818220	-0.009626	0.4	62.8	discard	big+bw0.5+d0.1+wd1e3
a4e94f2	0.874801	0.813812	0.844329	0.795440	0.819885	-0.007962	0.4	73.6	discard	big+bw0.5+d0.1+patch_drop15
a4e94f2	0.860193	0.718890	0.880368	0.741480	0.810924	-0.016922	0.4	76.2	discard	big+bw0.5+d0.1+focal
f3c2776	0.856262	0.728562	0.877416	0.746940	0.812178	-0.015668	0.4	68.1	discard	focal+warmup10
f3c2776	0.866332	0.768473	0.875009	0.788468	0.831738	+0.003892	0.4	69.5	keep	focal+gamma1
f3c2776	0.826033	0.639371	0.839804	0.629304	0.734554	-0.097185	0.4	80.3	discard	focal+lr1e4
f3c2776	0.812334	0.555665	0.795184	0.527586	0.661385	-0.170353	0.4	42.7	discard	focal+gamma3
f3c2776	0.861207	0.784795	0.861917	0.780776	0.821346	-0.010392	0.4	67.4	discard	focal+no_inst_eval
f3c2776	0.861235	0.722338	0.887202	0.743369	0.815285	-0.016453	0.4	74.3	discard	focal+k16
